subject,action,feature,group,U1,U2,D1,D2,L1,L2,R1,R2
subject_2,1,SSC,4,0.000125539821231,0.0286230792407,0.00868735562921,0.00123029024807,0.00230993271066,0.0340966154464,0.0710304308527,0.0113236918751
subject_2,1,WL,4,0.196479225686,0.0220526924346,0.0968272279536,0.0575896989306,0.132033098865,0.378108264585,0.030567571558,0.0980536101531
subject_2,2,MAV,1,0.126332623373,0.193573881622,0.11383965434,0.0808443186898,0.152704164254,0.187534878558,0.187646164691,0.392700228942
subject_2,2,ZC,1,0.0640378548896,0.0643533123028,0.0332807570978,0.0736593059937,0.0154574132492,0.0498422712934,0.0329652996845,0.160015772871
subject_2,2,SSC,1,0.00208290997765,0.00317516764885,0.0201940662467,0.0303038000406,0.0367303393619,0.0551463117253,0.028627311522,0.0561877667141
subject_2,2,WL,1,0.049042210826,0.120177936369,0.0936778705485,0.012528014065,0.170970988582,0.15836762876,0.191909091675,0.216176468259
subject_2,2,MAV,2,0.209694647053,0.357770780105,0.0801827997212,0.0678122749059,0.0472748605438,0.106920537777,0.160136311842,0.483782611528
subject_2,2,ZC,2,0.146345993128,0.274027300585,0.0818088959049,0.182189618349,0.0109573776581,0.138638685115,0.0812517411087,0.235862197047
subject_2,2,SSC,2,0.0397268321339,0.0853037646253,0.0118225877515,0.0130709355265,0.0177705977383,0.00878738923973,0.0200714740295,0.0591374161649
subject_2,2,WL,2,0.108370552464,0.197414729437,0.150153234134,0.10549903985,0.0367927616534,0.0161047767733,0.109534083587,0.381917146398
subject_2,2,MAV,3,0.0221217849824,0.136298617174,0.312189260385,0.366758401356,0.397519828163,0.435076736491,0.679084415219,0.695148537497
subject_2,2,ZC,3,0.00577789106976,0.00195428668536,0.119891239698,0.190585436316,0.190330529357,0.259920129153,0.451695131277,0.0333928116238
subject_2,2,SSC,3,0.00262512266928,0.00488223748773,0.0487242394504,0.0613837095191,0.0878312070658,0.0996565260059,0.26923454367,0.0133464180569
subject_2,2,WL,3,0.00100279610258,0.0907480371799,0.259487372227,0.283317580275,0.31559911991,0.325573772911,1.15635491721,0.671197135707
subject_2,2,MAV,4,0.0221217849824,0.136298617174,0.312189260385,0.366758401356,0.397519828163,0.435076736491,0.679084415219,0.695148537497
subject_2,2,ZC,4,0.00577789106976,0.00195428668536,0.119891239698,0.190585436316,0.190330529357,0.259920129153,0.451695131277,0.0333928116238
subject_2,2,SSC,4,0.00262512266928,0.00488223748773,0.0487242394504,0.0613837095191,0.0878312070658,0.0996565260059,0.26923454367,0.0133464180569
subject_2,2,WL,4,0.00100279610258,0.0907480371799,0.259487372227,0.283317580275,0.31559911991,0.325573772911,1.15635491721,0.671197135707
subject_2,3,MAV,1,0.0757394694395,0.167179526601,0.0276533047953,0.287216233436,0.376917724445,0.490278030526,0.212978768045,0.279089146046
subject_2,3,ZC,1,0.0520120273815,0.0271255837758,0.0642953106007,0.0831040880302,0.000127950866867,0.0322436184505,0.00390250143945,0.0523319045487
subject_2,3,SSC,1,0.00865621283774,0.000221245056556,0.0452722696977,0.0599574103266,0.00655438480046,0.0132193921292,0.00121684781106,0.00276556320695
subject_2,3,WL,1,0.0103546663681,0.114100588561,0.0261033575477,0.212848755202,0.379342593937,0.543851703607,0.223682852345,0.334137030694
subject_2,3,MAV,2,0.0498534927634,0.0103163867943,0.225787576637,0.260539707435,0.0366569326741,0.0516854386147,0.0384902355491,0.263439245843
subject_2,3,ZC,2,0.0931768674022,0.147284098096,0.091701215656,0.100344318741,0.0408966341086,0.0940903661022,0.00527018480781,0.0865012999789
subject_2,3,SSC,2,0.0258549479597,0.0314169282449,0.0487361638857,0.0629439947134,0.00713144996971,0.00316647392478,0.00327661214825,0.0267635883033
subject_2,3,WL,2,0.0820594051938,0.207209664141,0.0936180820258,0.130068678364,0.0334591566624,0.204890648228,0.0348325976313,0.184201642134
subject_2,3,MAV,3,0.0412435220264,0.243774703597,0.00724678865172,0.0586714854289,0.186362781538,0.428715877554,0.0077977786466,0.199348014138
