subject,action,feature,group,means_shift,std_shift
subject_2,3,MAV,1,0.116614546894,0.527981528969
subject_2,3,ZC,1,-0.0312999808074,0.648981379323
subject_2,3,SSC,1,0.0132366768993,0.421796803152
subject_2,3,WL,1,0.0845718833861,154.019355911
subject_2,3,MAV,2,0.0199861503314,1.75584736477
subject_2,3,ZC,2,0.0343967395123,1.11000435427
subject_2,3,SSC,2,0.00257792279311,1.11478919069
subject_2,3,WL,2,0.0665339243561,154.043970177
subject_2,3,MAV,3,-0.142883977123,1.6099369698
subject_2,3,ZC,3,0.0420664903665,0.635900621396
subject_2,3,SSC,3,-0.0374012549373,0.77966611899
subject_2,3,WL,3,-0.118253328682,200.573697983
subject_2,3,MAV,4,-0.142883977123,1.6099369698
subject_2,3,ZC,4,0.0420664903665,0.635900621396
subject_2,3,SSC,4,-0.0374012549373,0.77966611899
subject_2,3,WL,4,-0.118253328682,200.573697983
subject_2,4,MAV,1,-0.190607268073,2.49109776672
subject_2,4,ZC,1,0.12050522101,1.1850555796
subject_2,4,SSC,1,-0.0364100862641,1.58009800686
subject_2,4,WL,1,-0.105116295182,238.34917674
subject_2,4,MAV,2,0.137435126468,2.14347495351
subject_2,4,ZC,2,-0.0233029453015,0.996610496279
subject_2,4,SSC,2,0.0205039675329,1.49100548393
subject_2,4,WL,2,0.0601025258015,182.597829342
subject_2,4,MAV,3,0.0184911567541,1.72273460068
subject_2,4,ZC,3,0.0970045549294,3.09845033972
subject_2,4,SSC,3,-0.0338408644401,3.19627335666
subject_2,4,WL,3,0.0958497652257,228.149745724
subject_2,4,MAV,4,0.0184911567541,1.72273460068
subject_2,4,ZC,4,0.0970045549294,3.09845033972
subject_2,4,SSC,4,-0.0338408644401,3.19627335666
subject_2,4,WL,4,0.0958497652257,228.149745724
subject_2,5,MAV,1,-0.153174917026,2.71572894013
subject_2,5,ZC,1,-0.0404166941386,0.701230640443
subject_2,5,SSC,1,0.00985311797606,0.580201832841
subject_2,5,WL,1,-0.191518348217,424.783698615
subject_2,5,MAV,2,-0.157102476889,5.08837848966
subject_2,5,ZC,2,0.0922249944962,0.857100294349
subject_2,5,SSC,2,-0.0324011256847,0.608289194433
subject_2,5,WL,2,-0.0950673646378,757.29632859
subject_2,5,MAV,3,-0.0519941529088,3.37000911418
subject_2,5,ZC,3,-0.0175805006082,1.39397201542
subject_2,5,SSC,3,-0.0137330589561,3.80894023855
subject_2,5,WL,3,-0.0862341183492,723.519886692
subject_2,5,MAV,4,-0.0519941529088,3.37000911418
subject_2,5,ZC,4,-0.0175805006082,1.39397201542
subject_2,5,SSC,4,-0.0137330589561,3.80894023855
subject_2,5,WL,4,-0.0862341183492,723.519886692
subject_2,6,MAV,1,0.104588401592,0.786017040495
subject_2,6,ZC,1,-0.0363385734397,0.414229736639
subject_2,6,SSC,1,0.0232591812558,0.445005251417
subject_2,6,WL,1,0.0754157070589,173.438866671
subject_2,6,MAV,2,-0.119911804576,1.05887774075
subject_2,6,ZC,2,0.0937091004275,0.569930762415
subject_2,6,SSC,2,-0.0207145765472,0.650776296031
subject_2,6,WL,2,-0.0390859157741,137.499878449
subject_2,6,MAV,3,-0.0800393844209,1.91190966276
subject_2,6,ZC,3,0.0725976223892,1.42545318952
subject_2,6,SSC,3,-0.0344373388732,1.20387779058
subject_2,6,WL,3,-0.0437231483485,283.704381057
subject_2,6,MAV,4,-0.0800393844209,1.91190966276
subject_2,6,ZC,4,0.0725976223892,1.42545318952
subject_2,6,SSC,4,-0.0344373388732,1.20387779058
subject_2,6,WL,4,-0.0437231483485,283.704381057
subject_2,7,MAV,1,0.108704091007,0.0622885295639
subject_2,7,ZC,1,-0.0860926739196,0.637874882053
subject_2,7,SSC,1,0.0303267462336,0.437398981361
subject_2,7,WL,1,0.00885087870568,20.0688791969
subject_2,7,MAV,2,0.156021857071,0.0391659449997
subject_2,7,ZC,2,-0.0892917308433,0.445136733168
subject_2,7,SSC,2,0.00618268275915,0.423175954103
subject_2,7,WL,2,0.0647708725512,8.3256540498
subject_2,7,MAV,3,1.11722146782,0.110661424129
subject_2,7,ZC,3,0.0684420044752,0.853110775657
subject_2,7,SSC,3,-0.0171657103773,0.622821756939
subject_2,7,WL,3,1.76954577811,31.2243618056
subject_2,7,MAV,4,1.11722146782,0.110661424129
subject_2,7,ZC,4,0.0684420044752,0.853110775657
subject_2,7,SSC,4,-0.0171657103773,0.622821756939
subject_2,7,WL,4,1.76954577811,31.2243618056
subject_3,1,MAV,1,0.0749825396798,1.25975924684
subject_3,1,ZC,1,-0.0260844561288,0.362578106376
subject_3,1,SSC,1,0.00442752786424,0.372797858824
subject_3,1,WL,1,0.0613333112409,344.220924613
subject_3,1,MAV,2,0.0338131750081,1.2011337762
subject_3,1,ZC,2,0.0724218612043,0.477540549896
subject_3,1,SSC,2,-0.0105150782254,0.26611754306
subject_3,1,WL,2,0.0733425826087,131.99637321
subject_3,1,MAV,3,-0.222507175764,1.64071617272
subject_3,1,ZC,3,-0.0372440489111,0.405021886205
subject_3,1,SSC,3,-0.00150514230436,0.595146907817
subject_3,1,WL,3,-0.259325137372,318.975242729
subject_3,1,MAV,4,-0.222507175764,1.64071617272
subject_3,1,ZC,4,-0.0372440489111,0.405021886205
subject_3,1,SSC,4,-0.00150514230436,0.595146907817
subject_3,1,WL,4,-0.259325137372,318.975242729
subject_3,2,MAV,1,0.170246051242,1.08114874755
subject_3,2,ZC,1,0.0581892788545,0.479924033403
subject_3,2,SSC,1,-0.00201592644695,0.489893250438
subject_3,2,WL,1,0.199442579165,119.194402071
subject_3,2,MAV,2,0.0109381010607,1.48271306022
subject_3,2,ZC,2,0.0473444680099,0.526907031232
subject_3,2,SSC,2,-0.0136605445703,0.471746156265
subject_3,2,WL,2,0.0303947547894,201.174249813
subject_3,2,MAV,3,-0.0572253445891,1.05978365128
subject_3,2,ZC,3,-0.0397311598835,0.485235783404
subject_3,2,SSC,3,0.00432560864471,0.376909212587
subject_3,2,WL,3,-0.107086646231,189.921634111
subject_3,2,MAV,4,-0.0572253445891,1.05978365128
subject_3,2,ZC,4,-0.0397311598835,0.485235783404
subject_3,2,SSC,4,0.00432560864471,0.376909212587
subject_3,2,WL,4,-0.107086646231,189.921634111
subject_3,3,MAV,1,-0.0721711322527,0.900965673821
subject_3,3,ZC,1,0.0785141824468,0.755161410328
subject_3,3,SSC,1,-0.029153602985,0.491907889373
subject_3,3,WL,1,-0.000824407109077,120.39786724
subject_3,3,MAV,2,0.119535574377,0.368665738622
subject_3,3,ZC,2,-0.035880093999,0.589140573435
subject_3,3,SSC,2,0.0160437235543,0.513629862581
subject_3,3,WL,2,0.0784803253788,41.2872200889
subject_3,3,MAV,3,-0.162321734611,0.853943364274
subject_3,3,ZC,3,0.000874061533932,0.503842510386
subject_3,3,SSC,3,-0.00763686511241,0.307613820914
subject_3,3,WL,3,-0.187419131315,115.636354124
subject_3,3,MAV,4,-0.162321734611,0.853943364274
subject_3,3,ZC,4,0.000874061533932,0.503842510386
subject_3,3,SSC,4,-0.00763686511241,0.307613820914
subject_3,3,WL,4,-0.187419131315,115.636354124
subject_3,4,MAV,1,0.0570125180844,0.226659426989
subject_3,4,ZC,1,-0.0012727642986,0.483960585675
subject_3,4,SSC,1,0.00923796714104,0.386740815308
subject_3,4,WL,1,0.0451124070336,26.7938174613
subject_3,4,MAV,2,0.0104577620014,0.0861233692522
subject_3,4,ZC,2,-0.0128045748384,0.232435637792
subject_3,4,SSC,2,0.0022451597854,0.337297059486
subject_3,4,WL,2,0.0013136375274,29.1792365563
subject_3,4,MAV,3,0.0235825611143,0.854662865614
subject_3,4,ZC,3,0.0219586157688,0.307468663791
subject_3,4,SSC,3,-0.00743291521118,0.622708036812
subject_3,4,WL,3,0.0364731974305,139.402856751
subject_3,4,MAV,4,0.0235825611143,0.854662865614
subject_3,4,ZC,4,0.0219586157688,0.307468663791
subject_3,4,SSC,4,-0.00743291521118,0.622708036812
subject_3,4,WL,4,0.0364731974305,139.402856751
subject_3,5,MAV,1,0.0519992573617,1.02875678369
subject_3,5,ZC,1,0.00706997599209,0.47153338835
subject_3,5,SSC,1,0.00877860071419,0.241425178647
subject_3,5,WL,1,0.0575319751154,275.50986577
subject_3,5,MAV,2,0.151746918328,2.06700950522
subject_3,5,ZC,2,-0.0200839128109,0.513845993632
subject_3,5,SSC,2,0.00994511167871,0.373764308466
subject_3,5,WL,2,0.109721561686,388.420203679
subject_3,5,MAV,3,-0.0708161354803,2.85316238416
subject_3,5,ZC,3,-0.0395210364457,0.416920694299
subject_3,5,SSC,3,0.0232459791102,0.390188069089
subject_3,5,WL,3,-0.120150949318,534.688743679
subject_3,5,MAV,4,-0.0708161354803,2.85316238416
subject_3,5,ZC,4,-0.0395210364457,0.416920694299
subject_3,5,SSC,4,0.0232459791102,0.390188069089
subject_3,5,WL,4,-0.120150949318,534.688743679
subject_3,6,MAV,1,0.0386803165713,1.61777357465
subject_3,6,ZC,1,0.0477671379989,0.630841038223
subject_3,6,SSC,1,-0.0135918003565,0.493163107929
subject_3,6,WL,1,0.0598622755276,219.608178244
subject_3,6,MAV,2,0.0679202932659,1.89977863021
subject_3,6,ZC,2,0.0191648553754,0.523485429249
subject_3,6,SSC,2,-0.000602608342637,0.545512776699
subject_3,6,WL,2,0.0621313618158,240.266070343
subject_3,6,MAV,3,0.126362521109,0.44499522661
subject_3,6,ZC,3,0.0175761528105,0.435369196154
subject_3,6,SSC,3,-0.00350791268064,0.502932130295
subject_3,6,WL,3,0.143850039005,70.5398467078
subject_3,6,MAV,4,0.126362521109,0.44499522661
subject_3,6,ZC,4,0.0175761528105,0.435369196154
subject_3,6,SSC,4,-0.00350791268064,0.502932130295
subject_3,6,WL,4,0.143850039005,70.5398467078
subject_3,7,MAV,1,0.166215072155,0.268849588391
subject_3,7,ZC,1,-0.0218160005051,1.76748851055
subject_3,7,SSC,1,0.0389879945891,2.16744698778
subject_3,7,WL,1,0.121531631956,32.0137691006
subject_3,7,MAV,2,0.0439783777356,0.303894729761
subject_3,7,ZC,2,0.0169869492337,1.42043299782
subject_3,7,SSC,2,0.00627291277582,2.27926193852
subject_3,7,WL,2,0.0636248511355,42.1770806576
subject_3,7,MAV,3,0.234037924738,0.102358094357
subject_3,7,ZC,3,-0.0095571933609,0.818129273793
subject_3,7,SSC,3,0.0349896079191,1.18366942267
subject_3,7,WL,3,0.179338666647,17.481784015
